Date,Close
2009-07-09,4.87
2009-07-10,4.947143
2009-07-13,5.083571
2009-07-14,5.081071
2009-07-15,5.245714
2009-07-16,5.268571
2009-07-17,5.419643
2009-07-20,5.461071
2009-07-21,5.411071
2009-07-22,5.597857
2009-07-23,5.636429
2009-07-24,5.713929
2009-07-27,5.717857
2009-07-28,5.714286
2009-07-29,5.715357
2009-07-30,5.813929
2009-07-31,5.835357
2009-08-03,5.943929
2009-08-04,5.9125
2009-08-05,5.896786
2009-08-06,5.853929
2009-08-07,5.911071
2009-08-10,5.882857
2009-08-11,5.815357
2009-08-12,5.903929
2009-08-13,6.015
2009-08-14,5.956429
2009-08-17,5.699643
2009-08-18,5.857143
2009-08-19,5.878571
2009-08-20,5.940357
2009-08-21,6.043571
2009-08-24,6.037857
2009-08-25,6.05
2009-08-26,5.978929
2009-08-27,6.051786
2009-08-28,6.073214
2009-08-31,6.0075
2009-09-01,5.903571
2009-09-02,5.899286
2009-09-03,5.948214
2009-09-04,6.0825
2009-09-08,6.176071
2009-09-09,6.112143
2009-09-10,6.162857
2009-09-11,6.148571
2009-09-14,6.204286
2009-09-15,6.255714
2009-09-16,6.495357
2009-09-17,6.591071
2009-09-18,6.607857
2009-09-21,6.572143
2009-09-22,6.588571
2009-09-23,6.625
2009-09-24,6.565
2009-09-25,6.513214
2009-09-28,6.648214
2009-09-29,6.620714
2009-09-30,6.619643
2009-10-01,6.459286
2009-10-02,6.603571
2009-10-05,6.643571
2009-10-06,6.786071
2009-10-07,6.794643
2009-10-08,6.759643
2009-10-09,6.8025
2009-10-12,6.814643
2009-10-13,6.786429
2009-10-14,6.831786
2009-10-15,6.805714
2009-10-16,6.716071
2009-10-19,6.780714
2009-10-20,7.098571
2009-10-21,7.318571
2009-10-22,7.328571
2009-10-23,7.283571
2009-10-26,7.231429
2009-10-27,7.048929
2009-10-28,6.871429
2009-10-29,7.0125
2009-10-30,6.732143
2009-11-02,6.761071
2009-11-03,6.741071
2009-11-04,6.814643
2009-11-05,6.929643
2009-11-06,6.940714
2009-11-09,7.195
2009-11-10,7.249286
2009-11-11,7.258929
2009-11-12,7.213929
2009-11-13,7.301786
2009-11-16,7.379643
2009-11-17,7.392857
2009-11-18,7.355714
2009-11-19,7.161071
2009-11-20,7.14
2009-11-23,7.352857
2009-11-24,7.301429
2009-11-25,7.2925
2009-11-27,7.163929
2009-11-30,7.139643
2009-12-01,7.034643
2009-12-02,7.008214
2009-12-03,7.017143
2009-12-04,6.904286
2009-12-07,6.748214
2009-12-08,6.781071
2009-12-09,7.064286
2009-12-10,7.015357
2009-12-11,6.9525
2009-12-14,7.035
